text,label
"Deposit button is not working, tried multiple times but nothing happens",negative
"Web trader is not loading at all, stuck on loading screen",negative
"Unable to update my personal details, it keeps showing an error",negative
My account got locked suddenly without any reason,negative
Support is not responding for the last two days,negative
Payment gateway timed out and money is still not refunded,negative
App crashes every time I try to place a trade,negative
Funds transferred but balance is not updated in my account,neutral
Trade execution is very slow and prices are not updating,negative
Facing frequent disconnections on the web trader platform,negative
"Unable to reset my password, reset link is not working",negative
Placed an order but it got stuck in pending state,negative
Support agent closed my ticket without resolving the issue,negative
"Money deducted but deposit not reflected, this is very frustrating",negative
Verification status is stuck at pending for a week,negative
Platform performance is very bad today,negative
Account verification failed without any clear reason,negative
"Everything is working fine now, thanks for the quick fix",positive
"Support resolved my issue quickly, appreciate the help",positive
"Deposit worked smoothly this time, no issues",positive
"Trading experience has improved a lot, good job",positive
Not satisfied with the response time from support,negative
